CBSA_Code1,CBSA_Code,MSA_Name,Patents_2015
36220,136220,"Odessa, TX",16
19460,119460,"Decatur, AL",12
46220,146220,"Tuscaloosa, AL",25
14540,114540,"Bowling Green, KY",10
49420,149420,"Yakima, WA",7
22180,122180,"Fayetteville, NC",13
29340,129340,"Lake Charles, LA",8
33140,133140,"Michigan City-La Porte, IN",12
22900,122900,"Fort Smith, AR-OK",17
17980,117980,"Columbus, GA-AL",12
45820,145820,"Topeka, KS",8
39380,139380,"Pueblo, CO",18
41140,141140,"St. Joseph, MO-KS",4
19140,119140,"Dalton, GA",9
45460,145460,"Terre Haute, IN",7
20100,120100,"Dover, DE",8
13740,113740,"Billings, MT",13
31020,131020,"Longview, WA",8
17300,117300,"Clarksville, TN-KY",8
31900,131900,"Mansfield, OH",12
33740,133740,"Monroe, LA",12
27780,127780,"Johnstown, PA",7
39660,139660,"Rapid City, SD",10
41780,141780,"Sandusky, OH",9
17420,117420,"Cleveland, TN",4
48660,148660,"Wichita Falls, TX",10
13900,113900,"Bismarck, ND",4
48540,148540,"Wheeling, WV-OH",6
29420,129420,"Lake Havasu City-Kingman, AZ",11
37380,137380,"Palm Coast, FL",13
31460,131460,"Madera-Chowchilla, CA",13
21060,121060,"Elizabethtown, KY",9
36980,136980,"Owensboro, KY",8
32580,132580,"McAllen-Edinburg-Mission, TX",14
41540,141540,"Salisbury, MD",4
16180,116180,"Carson City, NV",5
27860,127860,"Jonesboro, AR",25
22520,122520,"Florence-Muscle Shoals, AL",11
25620,125620,"Hattiesburg, MS",9
34620,134620,"Muncie, IN",7
11020,111020,"Altoona, PA",12
49700,149700,"Yuba City, CA",3
10500,110500,"Albany, GA",28
22140,122140,"Farmington, NM",5
25500,125500,"Harrisonburg, VA",8
32900,132900,"Merced, CA",8
40580,140580,"Rocky Mount, NC",7
16940,116940,"Cheyenne, WY",18
15180,115180,"Brownsville-Harlingen, TX",13
38540,138540,"Pocatello, ID",4
47220,147220,"Vineland-Millville-Bridgeton, NJ",8
37700,137700,"Pascagoula, MS",2
10780,110780,"Alexandria, LA",7
40660,140660,"Rome, GA",8
26300,126300,"Hot Springs, AR",3
16020,116020,"Cape Girardeau-Jackson, MO-IL",2
48300,148300,"Wenatchee-East Wenatchee, WA",6
44600,144600,"Steubenville-Weirton, OH-WV",2
11500,111500,"Anniston-Oxford, AL",5
30340,130340,"Lewiston-Auburn, ME",6
15260,115260,"Brunswick, GA",5
27620,127620,"Jefferson City, MO",10
49740,149740,"Yuma, AZ",5
45500,145500,"Texarkana, TX-Texarkana, AR",2
10180,110180,"Abilene, TX",8
36140,136140,"Ocean City, NJ",5
20020,120020,"Dothan, AL",4
47580,147580,"Warner Robins, GA",5
19180,119180,"Danville, IL",3
30620,130620,"Lima, OH",5
44940,144940,"Sumter, SC",2
47020,147020,"Victoria, TX",3
23460,123460,"Gadsden, AL",1
46660,146660,"Valdosta, GA",5
27340,127340,"Jacksonville, NC",11
19060,119060,"Cumberland, MD-WV",0
21820,121820,"Fairbanks, AK",4
10380,110380,"Aguadilla-Isabela-San Sebastián, PR",3
19260,119260,"Danville, VA",2
24500,124500,"Great Falls, MT",3
16220,116220,"Casper, WY",5
32420,132420,"Mayagüez, PR",3
25260,125260,"Hanford-Corcoran, CA",0
41660,141660,"San Angelo, TX",3
20940,120940,"El Centro, CA",3
24140,124140,"Goldsboro, NC",2
30020,130020,"Lawton, OK",4
30300,130300,"Lewiston, ID-WA",3
29700,129700,"Laredo, TX",4
38220,138220,"Pine Bluff, AR",0
25980,125980,"Hinesville-Fort Stewart, GA",0
38660,138660,"Ponce, PR",0
41900,141900,"San Germán-Cabo Rojo, PR",1
25020,125020,"Guayama, PR",0
49500,149500,"Yauco, PR",1
21940,121940,"Fajardo, PR",0
#VALUE!,,-- Subtotal --,135192
#VALUE!,,,
18500,218500,"Corning, NY",165
33220,233220,"Midland, MI",187
45860,245860,"Torrington, CT",91
20340,220340,"Duncan, OK",60
47700,247700,"Warsaw, IN",149
30100,230100,"Lebanon, NH-VT",96
18180,218180,"Concord, NH",82
12780,212780,"Bartlesville, OK",59
31060,231060,"Los Alamos, NM",50
46020,246020,"Truckee-Grass Valley, CA",38
14580,214580,"Bozeman, MT",50
10540,210540,"Albany-Lebanon, OR",41
23820,223820,"Gardnerville Ranchos, NV",44
49300,249300,"Wooster, OH",52
28060,228060,"Kalispell, MT",29
24820,224820,"Greenville, OH",27
10300,210300,"Adrian, MI",33
39420,239420,"Pullman, WA",46
36860,236860,"Ottawa-Streator, IL",42
39860,239860,"Red Wing, MN",48
10880,210880,"Allegan, MI",26
44380,244380,"Statesville-Mooresville, NC",27
36940,236940,"Owatonna, MN",38
13180,213180,"Beaver Dam, WI",19
48580,248580,"Whitewater, WI",23
48740,248740,"Willimantic, CT",24
44660,244660,"Stillwater, OK",12
45900,245900,"Traverse City, MI",27
18260,218260,"Cookeville, TN",18
32260,232260,"Marshalltown, IA",52
22060,222060,"Faribault-Northfield, MN",35
28300,228300,"Keene, NH",22
27220,227220,"Jackson, WY-ID",26
31820,231820,"Manitowoc, WI",27
25940,225940,"Hilton Head Island-Beaufort, SC",19
20700,220700,"East Stroudsburg, PA",12
20820,220820,"Effingham, IL",17
28580,228580,"Key West, FL",23
48020,248020,"Watertown-Fort Atkinson, WI",18
12180,212180,"Auburn, NY",16
37800,237800,"Pella, IA",16
48820,248820,"Willmar, MN",16
29660,229660,"Laramie, WY",20
40620,240620,"Rolla, MO",20
38620,238620,"Ponca City, OK",2
27980,227980,"Kahului-Wailuku, HI",21
26340,226340,"Houghton, MI",10
11900,211900,"Athens, OH",25
17200,217200,"Claremont, NH",26
23300,223300,"Freeport, IL",12
35420,235420,"New Philadelphia-Dover, OH",12
14660,214660,"Brainerd, MN",26
22300,222300,"Findlay, OH",15
43380,243380,"Sidney, OH",20
42860,242860,"Seneca, SC",9
44260,244260,"Starkville, MS",8
12660,212660,"Baraboo, WI",9
25900,225900,"Hilo, HI",12
48060,248060,"Watertown-Fort Drum, NY",9
29060,229060,"Laconia, NH",14
12740,212740,"Barre, VT",12
36020,236020,"Oak Harbor, WA",23
36820,236820,"Oskaloosa, IA",19
34140,234140,"Moscow, ID",9
47540,247540,"Wapakoneta, OH",13
16540,216540,"Chambersburg, PA",13
14940,214940,"Brigham City, UT",13
26460,226460,"Hudson, NY",10
42380,242380,"Sayre, PA",3
26780,226780,"Hutchinson, MN",16
46180,246180,"Tupelo, MS",9
42580,242580,"Seaford, DE",8
43860,243860,"Southern Pines-Pinehurst, NC",15
44420,244420,"Staunton-Waynesboro, VA",6
40300,240300,"Rochelle, IL",16
12860,212860,"Batavia, NY",5
46380,246380,"Ukiah, CA",10
40860,240860,"Rutland, VT",19
27460,227460,"Jamestown-Dunkirk-Fredonia, NY",8
29300,229300,"LaGrange, GA",7
19300,219300,"Daphne-Fairhope-Foley, AL",13
32100,232100,"Marquette, MI",19
20620,220620,"East Liverpool-Salem, OH",13
45640,245640,"Thomasville-Lexington, NC",15
39060,239060,"Pottsville, PA",13
28340,228340,"Kendallville, IN",6
12140,212140,"Auburn, IN",7
15100,215100,"Brookings, SD",14
35100,235100,"New Bern, NC",11
35340,235340,"New Iberia, LA",8
40080,240080,"Richmond-Berea, KY",6
13540,213540,"Bennington, VT",10
26860,226860,"Indiana, PA",12
24180,224180,"Granbury, TX",18
30740,230740,"Lincolnton, NC",14
47460,247460,"Walla Walla, WA",18
21700,221700,"Eureka-Arcata-Fortuna, CA",5
23900,223900,"Gettysburg, PA",7
45380,245380,"Taylorville, IL",5
41820,241820,"Sanford, NC",14
35500,235500,"Newton, IA",5
38020,238020,"Phoenix Lake-Cedar Ridge, CA",8
27540,227540,"Jasper, IN",6
35260,235260,"New Castle, PA",4
13940,213940,"Blackfoot, ID",7
34700,234700,"Muscatine, IA",6
49100,249100,"Winona, MN",18
29580,229580,"Lancaster, SC",17
10820,210820,"Alexandria, MN",4
32060,232060,"Marion-Herrin, IL",7
36300,236300,"Ogdensburg-Massena, NY",15
24740,224740,"Greenville, MS",4
37020,237020,"Owosso, MI",10
18660,218660,"Cortland, NY",6
20780,220780,"Edwards, CO",20
23660,223660,"Galesburg, IL",5
24420,224420,"Grants Pass, OR",9
30500,230500,"Lexington Park, MD",10
39980,239980,"Richmond, IN",9
11980,211980,"Athens, TX",16
13340,213340,"Bellefontaine, OH",4
32740,232740,"Meadville, PA",9
37820,237820,"Pendleton-Hermiston, OR",5
48940,248940,"Wilmington, OH",8
10700,210700,"Albertville, AL",11
11420,211420,"Angola, IN",6
36900,236900,"Ottumwa, IA",9
11220,211220,"Amsterdam, NY",12
43420,243420,"Sierra Vista-Douglas, AZ",9
16380,216380,"Celina, OH",8
36460,236460,"Olean, NY",7
38820,238820,"Port Angeles, WA",16
26140,226140,"Homosassa Springs, FL",3
38500,238500,"Plymouth, IN",3
27420,227420,"Jamestown, ND",6
28260,228260,"Kearney, NE",10
32270,232270,"Marshfield-Wisconsin Rapids, WI",15
44580,244580,"Sterling, IL",5
11660,211660,"Arkadelphia, AR",0
11780,211780,"Ashtabula, OH",6
13260,213260,"Bedford, IN",7
46300,246300,"Twin Falls, ID",10
20420,220420,"Durango, CO",12
35940,235940,"Norwalk, OH",7
18820,218820,"Crawfordsville, IN",7
43140,243140,"Shelby, NC",6
46100,246100,"Tullahoma, TN",3
19220,219220,"Danville, KY",5
11740,211740,"Ashland, OH",3
22260,222260,"Fergus Falls, MN",16
26480,226480,"Humboldt, TN",2
32700,232700,"McPherson, KS",14
39500,239500,"Quincy, IL-MO",3
43740,243740,"Somerset, PA",8
18100,218100,"Columbus, NE",9
40820,240820,"Ruston, LA",9
24620,224620,"Greeneville, TN",10
12380,212380,"Austin, MN",5
24940,224940,"Greenwood, SC",8
37060,237060,"Oxford, MS",6
36340,236340,"Oil City, PA",11
40500,240500,"Rockland, ME",2
25720,225720,"Heber, UT",11
43540,243540,"Silverthorne, CO",10
14100,214100,"Bloomsburg-Berwick, PA",5
14340,214340,"Boone, IA",12
16060,216060,"Carbondale, IL",6
41580,241580,"Salisbury, NC",10
12300,212300,"Augusta-Waterville, ME",7
31940,231940,"Marinette, WI-MI",6
34340,234340,"Mount Airy, NC",4
18980,218980,"Cullman, AL",4
26220,226220,"Hood River, OR",11
34020,234020,"Morgan City, LA",2
42980,242980,"Seymour, IN",14
25340,225340,"Harriman, TN",6
34380,234380,"Mount Pleasant, MI",3
34540,234540,"Mount Vernon, OH",3
38460,238460,"Plattsburgh, NY",5
11620,211620,"Ardmore, OK",3
15460,215460,"Burlington, IA-IL",8
28820,228820,"Kinston, NC",2
33820,233820,"Monroe, WI",3
18220,218220,"Connersville, IN",1
23620,223620,"Gainesville, TX",13
20380,220380,"Dunn, NC",2
44620,244620,"Stevens Point, WI",5
20660,220660,"Easton, MD",10
30660,230660,"Lincoln, IL",3
37140,237140,"Paducah, KY-IL",8
26540,226540,"Huntington, IN",6
40700,240700,"Roseburg, OR",6
35740,235740,"Norfolk, NE",5
38100,238100,"Picayune, MS",7
26740,226740,"Hutchinson, KS",9
32860,232860,"Menomonie, WI",6
14380,214380,"Boone, NC",6
16660,216660,"Charleston-Mattoon, IL",2
38420,238420,"Platteville, WI",5
47420,247420,"Wahpeton, ND-MN",5
15620,215620,"Cadillac, MI",6
24700,224700,"Greensburg, IN",2
31920,231920,"Marble Falls, TX",4
42700,242700,"Sebring, FL",3
10140,210140,"Aberdeen, WA",4
24100,224100,"Gloversville, NY",5
36580,236580,"Oneonta, NY",8
41460,241460,"Salina, KS",3
42940,242940,"Sevierville, TN",7
10220,210220,"Ada, OK",7
40180,240180,"Riverton, WY",2
44780,244780,"Sturgis, MI",1
24260,224260,"Grand Island, NE",4
25220,225220,"Hammond, LA",3
33420,233420,"Mineral Wells, TX",2
43220,243220,"Shelton, WA",5
19940,219940,"Dixon, IL",15
31980,231980,"Marion, IN",2
46500,246500,"Urbana, OH",3
14700,214700,"Branson, MO",3
22100,222100,"Farmington, MO",6
32940,232940,"Meridian, MS",3
11820,211820,"Astoria, OR",2
19580,219580,"Defiance, OH",2
23140,223140,"Frankfort, IN",6
31380,231380,"Macomb, IL",0
38700,238700,"Pontiac, IL",0
17340,217340,"Clearlake, CA",1
32020,232020,"Marion, OH",2
34180,234180,"Moses Lake, WA",7
34860,234860,"Nacogdoches, TX",5
46980,246980,"Vicksburg, MS",2
47340,247340,"Wabash, IN",1
48980,248980,"Wilson, NC",4
26660,226660,"Huntsville, TX",6
28500,228500,"Kerrville, TX",6
31500,231500,"Madison, IN",12
47980,247980,"Watertown, SD",4
15580,215580,"Butte-Silver Bow, MT",7
17740,217740,"Coldwater, MI",0
33980,233980,"Morehead City, NC",1
40540,240540,"Rock Springs, WY",7
47620,247620,"Warren, PA",0
15860,215860,"Cañon City, CO",4
34780,234780,"Muskogee, OK",3
37260,237260,"Palatka, FL",3
22800,222800,"Fort Madison-Keokuk, IA-MO",4
38260,238260,"Pittsburg, KS",3
23240,223240,"Fredericksburg, TX",5
28180,228180,"Kapaa, HI",6
29900,229900,"Laurinburg, NC",0
19540,219540,"Decatur, IN",6
21460,221460,"Enterprise-Ozark, AL",1
23340,223340,"Fremont, NE",1
23380,223380,"Fremont, OH",5
28900,228900,"Klamath Falls, OR",6
32180,232180,"Marshall, MO",6
36180,236180,"Ocean Pines, MD",6
44020,244020,"Spirit Lake, IA",2
45660,245660,"Tiffin, OH",6
45700,245700,"Tifton, GA",7
23180,223180,"Frankfort, KY",3
37740,237740,"Payson, AZ",9
13100,213100,"Beatrice, NE",1
21540,221540,"Escanaba, MI",2
41260,241260,"St. Marys, PA",2
49460,249460,"Yankton, SD",5
13220,213220,"Beckley, WV",12
13420,213420,"Bemidji, MN",7
29380,229380,"Lake City, FL",2
36660,236660,"Opelousas-Eunice, LA",4
36700,236700,"Orangeburg, SC",3
10940,210940,"Alma, MI",0
14140,214140,"Bluefield, WV-VA",2
16500,216500,"Centralia, WA",6
17060,217060,"Chillicothe, OH",3
15700,215700,"Cambridge, MD",9
17540,217540,"Clinton, IA",5
32300,232300,"Martinsville, VA",6
16260,216260,"Cedar City, UT",5
20180,220180,"DuBois, PA",3
22580,222580,"Forest City, NC",13
36620,236620,"Ontario, OR-ID",3
18060,218060,"Columbus, MS",3
23860,223860,"Georgetown, SC",5
32980,232980,"Merrill, WI",4
17220,217220,"Clarksburg, WV",2
18460,218460,"Cornelia, GA",5
25740,225740,"Helena, MT",3
30380,230380,"Lewistown, PA",3
32380,232380,"Mason City, IA",8
17940,217940,"Columbia, TN",5
19860,219860,"Dickinson, ND",4
21380,221380,"Emporia, KS",3
38380,238380,"Plainview, TX",3
46460,246460,"Union City, TN-KY",7
14820,214820,"Brevard, NC",3
23940,223940,"Gillette, WY",1
33940,233940,"Montrose, CO",4
23780,223780,"Garden City, KS",3
42900,242900,"Seneca Falls, NY",5
43320,243320,"Show Low, AZ",2
45620,245620,"Thomasville, GA",0
30260,230260,"Lewisburg, PA",5
32220,232220,"Marshall, TX",5
40740,240740,"Roswell, NM",1
45340,245340,"Taos, NM",1
47820,247820,"Washington, NC",4
49060,249060,"Winfield, KS",1
33620,233620,"Moberly, MO",3
44980,244980,"Sunbury, PA",3
15340,215340,"Bucyrus, OH",2
18300,218300,"Coos Bay, OR",1
32140,232140,"Marshall, MN",3
39940,239940,"Rexburg, ID",4
